"","Time","GE_fasted","GE_fed"
"1",1,100,100
"2",2,89.32,96.15
"3",3,84.9,101.7
"4",4,85.1,93.73
"5",5,99.07,95.75
"6",6,83.96,96.11
"7",7,84.01,95.03
"8",8,88.99,96.46
"9",9,76.18,97.59
"10",10,62.59,92.89
"11",11,56.42,101.15
"12",12,53.36,91.99
"13",13,57.23,95.53
"14",14,61.63,90.13
"15",15,58.43,98.79
"16",16,50.95,97.93
"17",17,44.98,96.37
"18",18,50.86,88.75
"19",19,52.04,97.46
"20",20,45.13,89.1
"21",21,37.87,92.39
"22",22,44.19,91.43
"23",23,37.77,96.77
"24",24,36.74,91.07
"25",25,36.16,92.12
"26",26,31.71,90.54
"27",27,31.8,85.12
"28",28,32.57,87.49
"29",29,31.99,88.86
"30",30,26.21,80.27
"31",31,24.49,79.5
"32",32,25.84,80.68
"33",33,22.02,78.18
"34",34,17.09,77.48
"35",35,20.04,71.66
"36",36,19.79,64.33
"37",37,23.99,67.51
"38",38,21.91,55.7
"39",39,21.05,55.44
"40",40,16.23,58.89
"41",41,15.63,40.79
"42",42,18.4,39.27
"43",43,16.36,41.08
"44",44,14.03,33.26
"45",45,15,35.22
"46",46,13.45,20.99
"47",47,12.26,24.05
"48",48,12.85,10.91
"49",49,13.82,16.59
"50",50,10.5,16.19
"51",51,9.42,5.17
"52",52,10.43,3.82
"53",53,10.85,3.98
"54",54,11.55,1.74
"55",55,11.14,0.47
"56",56,8.94,3.18
"57",57,7.91,-2.99
"58",58,7.23,0.62
"59",59,7.94,1.28
"60",60,7.71,-2.59
