"","Dose","GE_content"
"1",5,17.45
"2",5,23.54
"3",5,20.32
"4",5,9.91
"5",5,16.62
"6",5,18.27
"7",5,7.78
"8",5,21.21
"9",5,12.07
"10",5,15.88
"11",10,34.08
"12",10,36.28
"13",10,26.68
"14",10,26.08
"15",10,25.86
"16",10,31.28
"17",10,21.28
"18",10,29.16
"19",10,27.87
"20",10,28.79
"21",20,40.47
"22",20,47.43
"23",20,39.48
"24",20,48.14
"25",20,41.51
"26",20,43.78
"27",20,46.48
"28",20,45.61
"29",20,38.03
"30",20,47.06
"31",50,67.62
"32",50,64.72
"33",50,63.68
"34",50,68.87
"35",50,63.5
"36",50,62.1
"37",50,56.25
"38",50,64.38
"39",50,64.8
"40",50,65.35
"41",100,78.48
"42",100,80.98
"43",100,78.03
"44",100,88.05
"45",100,78.97
"46",100,79.97
"47",100,74.96
"48",100,80.78
"49",100,89.89
"50",100,84.5
"51",150,85.09
"52",150,82.11
"53",150,91.71
"54",150,91.9
"55",150,82.97
"56",150,83.92
"57",150,83.22
"58",150,83.97
"59",150,82.94
"60",150,93.45
