,X1,X2,X3,X4,X5
1,4.248,5.321,4.185,4.318,4.123
2,4.492,5.022,4.275,4.209,4.083
3,4.954,4.848,4.771,4.847,5.337
4,4.492,4.766,4.300,4.516,4.793
5,4.419,4.352,4.453,4.666,4.008
6,5.031,4.800,5.097,4.701,4.986
7,4.544,4.283,4.205,4.572,4.325
8,3.893,3.853,4.177,4.264,3.390
9,4.260,5.037,4.576,4.192,4.352
10,4.527,4.342,4.825,4.409,4.343
11,4.804,4.921,5.163,4.961,4.838
12,4.722,4.718,4.784,4.659,4.690
13,4.401,5.175,4.250,4.744,4.939
14,4.548,4.301,4.411,4.510,4.611
15,4.434,3.887,4.266,4.255,4.119
16,5.104,5.790,5.201,4.534,4.780
17,4.688,4.451,4.636,4.632,4.608
18,3.837,3.585,3.643,3.992,4.025
19,4.606,4.154,5.091,4.812,4.346
20,4.228,3.780,4.569,4.253,4.298
21,4.220,3.921,4.242,4.518,4.528
22,4.315,4.713,4.713,4.489,4.401
23,4.142,4.692,3.908,4.216,3.949
24,4.266,4.600,4.437,4.523,4.188
25,4.612,4.149,4.207,4.176,4.713
26,3.919,4.021,4.154,3.908,4.194
27,4.810,4.434,4.748,5.207,5.195
28,4.581,4.223,4.695,4.548,4.600
29,4.037,4.557,4.462,4.469,4.309
30,4.888,4.419,4.888,4.603,4.683
31,4.868,5.508,4.862,4.592,4.848
32,4.502,4.371,4.160,4.483,4.237
33,4.798,4.865,4.620,4.826,4.269
34,4.723,4.431,5.108,4.572,4.814
35,4.461,4.488,4.839,4.750,5.442
36,4.899,4.114,4.265,4.502,4.996
37,4.470,4.584,4.376,4.802,5.085
38,4.615,4.670,4.447,4.688,4.614
39,4.718,4.554,4.609,3.985,4.197
40,4.192,4.034,4.373,4.621,4.319
41,4.420,3.937,4.439,4.056,4.200
42,4.421,4.212,4.659,4.524,4.276
43,3.908,4.794,4.498,4.246,4.375
44,4.946,4.639,5.173,5.113,4.731
45,4.645,4.782,4.861,4.740,5.175
46,4.106,5.019,3.787,4.194,4.475
47,4.183,4.334,4.411,4.463,3.959
48,4.486,3.748,4.244,4.528,4.592
49,5.072,4.435,4.530,4.344,5.602
50,4.305,4.693,4.445,4.164,4.282
51,4.717,4.407,4.809,4.848,4.881
52,4.630,4.239,4.063,4.690,4.219
53,4.560,4.332,4.403,4.570,4.886
54,4.782,4.951,4.946,5.046,5.004
55,4.437,5.152,4.246,4.607,5.024
56,4.936,4.915,5.038,4.449,4.442
57,4.143,4.522,4.136,4.246,4.022
58,4.643,4.959,4.678,4.583,4.493
59,4.707,4.486,4.005,4.581,4.472
60,4.532,3.875,5.141,4.509,4.346
61,4.795,4.379,4.579,4.780,4.323
62,4.215,4.129,4.503,4.283,4.560
63,4.234,4.421,4.470,4.499,4.019
64,4.704,4.780,4.430,4.120,4.726
65,4.139,5.210,4.368,3.971,3.762
66,4.659,5.287,4.555,4.821,4.632
67,4.753,4.575,4.728,4.775,4.829
68,4.466,3.725,4.318,4.844,4.729
69,4.877,4.602,4.975,4.789,4.675
70,5.193,5.155,5.024,5.329,5.148
71,4.343,4.733,4.894,4.728,4.699
72,3.840,4.240,3.454,3.754,3.295
73,4.820,5.110,4.710,4.550,4.529
74,4.630,3.659,4.479,4.242,4.406
75,4.205,4.676,4.416,4.253,4.141
76,4.666,4.607,4.688,4.836,5.299
77,4.443,4.493,4.205,4.740,4.659
78,4.203,4.167,4.176,4.072,4.164
79,4.643,4.747,4.561,4.625,4.024
80,4.413,4.469,4.074,4.415,4.473
81,4.365,3.751,4.519,4.506,4.394
82,4.828,4.947,4.667,4.675,4.584
83,4.359,4.563,4.437,4.641,3.974
84,4.586,4.574,4.471,4.716,4.875
85,4.421,4.487,4.549,4.569,4.070
86,4.593,4.660,4.913,4.748,4.524
87,5.019,4.929,4.939,5.003,4.969
88,4.666,5.369,4.391,4.521,4.357
89,4.538,4.304,4.316,4.711,4.614
90,4.793,4.920,4.931,4.772,4.382
91,4.853,5.324,4.666,4.778,3.806
92,4.639,5.139,4.200,4.931,4.835
93,4.609,5.087,4.776,4.817,4.875
94,4.200,4.052,4.139,4.105,4.215
95,4.735,5.809,4.792,4.742,5.092
96,4.643,4.350,4.661,4.062,3.915
97,5.269,5.996,4.996,5.191,5.116
98,4.795,4.352,5.156,4.991,4.276
99,4.361,4.439,4.162,4.498,4.854
100,4.037,4.755,4.124,4.297,4.857
